time,power,shaded_substrings
0,114.40238204388353,1
192,114.40319636634618,1
384,114.40108946011676,1
576,114.39604828461175,1
768,113.72316594808774,1
960,113.71223881425509,1
1152,113.30646291598204,1
1344,97.87017919572794,2
1536,104.408791627085,2
1728,97.69787677104806,2
1920,90.64109126808076,2
2112,90.75677040426271,2
2304,75.71840343793099,2
2496,75.54723846424112,2
2688,55.79272170533432,2
2880,67.79857995860036,2
3072,60.34272367382291,2
3264,55.6959105832092,2
3456,51.793992009162224,2
3648,51.77038702516118,2
3840,68.12869965522268,2
4032,51.719172709974146,2
4224,55.490890479600814,2
4416,51.662617063558706,2
4608,51.63233190029867,2
4800,55.3793502151495,2
4992,63.499443357402015,2
5184,64.10363015707055,2
5376,67.13309796485282,2
5568,69.98506589169767,2
5760,54.95648339649509,2
5952,67.39986176242138,2
6144,59.576809708449325,2
6336,51.299310585599805,2
6528,51.255583882244295,2
6720,51.21051158201998,2
6912,51.16408295158399,2
7104,51.11630734409054,2
7296,51.067178958494765,2
7488,51.01668603724178,2
7680,50.964849876171485,2
7872,50.91163381265664,2
8064,50.857076501593745,2
8256,50.80116621585676,2
8448,50.7439052716074,2
8640,50.685270983170085,2
8832,54.273130960480486,2
9024,54.1704604421501,2
9216,50.50120574565641,2
9408,50.4371135652161,2
9600,62.62239652842423,2
9792,53.9014651444397,2
9984,53.932234149893034,2
10176,72.85317240975367,2
10368,53.70437181054223,2
10560,60.754579579634196,2
10752,72.47176243169567,2
10944,79.74302774048911,2
11136,79.72019241329296,2
11328,78.8864318286059,2
11520,78.76416008591181,2
11712,104.1867806510087,2
11904,99.13332744538472,2
12096,121.99691987559157,2
12288,110.6639340092854,2
12480,131.7190667650303,2
12672,132.06762441749876,2
12864,151.38101538812447,1
13056,151.58932820423692,2
13248,159.5924369115743,1
13440,151.20658930060836,1
13632,165.54133433009127,0
13824,158.85235251690696,1
14016,164.01497137858163,0
14208,164.5484644643665,0
14400,164.20809735938147,0
14592,163.86304568262514,0
14784,163.51325670208405,0
14976,163.1587676830555,0
15168,162.7996221191966,0
15360,162.4357551598683,0
15552,162.0671741717125,0
15744,161.69392196685934,0
15936,161.31598023616087,0
16128,160.93332340777204,0
16320,160.54596882371695,0
16512,160.15399115393964,0
16704,159.75726904450872,0
16896,159.35586516189758,0
17088,158.94986348198344,0
17280,158.5391601780199,0
17472,158.12375703904507,0
17664,157.7037030170573,0
17856,157.27907021360076,0
18048,156.84971266591552,0
18240,156.41574101483025,0
18432,155.9771643905566,0
18624,155.53395112710555,0
18816,155.08611773089854,0
19008,154.63370399807465,0
19200,154.17665860596657,0
19392,153.71504130344974,0
19584,153.24883641351383,0
19776,152.7780540072329,0
19968,152.30277071358225,0
20160,151.82291648012784,0
20352,151.33849317279723,0
20544,150.84960346691764,0
20736,150.35616467187793,0
20928,149.8582621118435,0
21120,149.35584429815702,0
21312,148.84894194021393,0
21504,148.3376563916638,0
21696,147.8218770833378,0
21888,147.30170754615236,0
22080,146.77710462858317,0
22272,146.2481323960125,0
22464,145.71479351974608,0
22656,145.1770769800241,0
22848,144.63503775952236,0
23040,144.08868141152402,0
23232,143.53803453005958,0
23424,142.98306230911427,0
23616,142.42390870634193,0
23808,141.86045071456158,0
24000,141.29282683764825,0
24192,140.7209319117308,0
24384,140.14494511730848,0
24576,139.56474727343175,0
24768,138.9804577034825,0
24960,138.3919891413357,0
25152,137.79950475658597,0
25344,137.20292538309016,0
25536,136.60231547261435,0
25728,135.997680102552,0
25920,135.38903207488434,0
26112,134.7764894976799,0
26304,134.15993368066913,0
26496,133.53951305116576,0
26688,132.91518773775357,0
26880,132.28696849196405,0
27072,131.65495705794308,0
27264,131.01909567737124,0
27456,130.37944837225547,0
27648,129.7360636441136,0
27840,129.08893205857927,0
28032,128.43811694223837,0
28224,127.78360516749608,0
28416,127.1254172942309,0
28608,126.46360413329931,0
28800,125.79822093040825,0
28992,125.12923860538419,0
29184,124.45669007224556,0
29376,123.78065206885745,0
29568,123.10112608371021,0
29760,122.41810239828212,0
29952,121.73161790006236,0
30144,121.0417455014532,0
30336,120.34846475474993,0
30528,119.6518329693517,0
30720,118.9518323431091,0
30912,118.24851488071626,0
31104,117.5419070370616,0
31296,116.83201693919908,0
31488,116.11891427468248,0
31680,115.40257955199293,0
31872,114.68299392668177,0
32064,113.9602515220107,0
32256,113.23435130612046,0
32448,112.50527911059977,0
32640,111.77311916240357,0
32832,111.03787432534986,0
33024,110.29954417810552,0
33216,109.5581274290184,0
33408,108.81371048589891,0
33600,108.06624736293682,0
33792,107.31580095288398,0
33984,106.5623435586029,0
34176,105.805917521413,0
34368,105.04655757240495,0
34560,104.28424194954641,0
34752,103.51899837574722,0
34944,102.75084872105037,0
35136,101.97978314715799,0
35328,101.20588981661194,0
35520,100.42912219065984,0
35712,99.6494993100355,0
35904,98.86701645225249,0
36096,98.08174484533122,0
36288,97.29365626505106,0
36480,96.50278292100255,0
36672,95.70909934059755,0
36864,94.91268311113188,0
37056,94.11349201885587,0
37248,93.31158206314473,0
37440,92.5069704252878,0
37632,91.6996199012135,0
37824,90.88962217485225,0
38016,90.07691147268469,0
38208,89.2615883793513,0
38400,88.4436014672472,0
38592,87.6230396368087,0
38784,86.7998859128434,0
38976,85.97415180740401,0
39168,85.14591417935102,0
39360,84.31517187155669,0
39552,83.4819151697169,0
39744,82.64621066346606,0
39936,81.80814500608233,0
40128,80.96770268012169,0
40320,80.12489630344426,0
40512,79.27981885743819,0
40704,78.43249404926813,0
40896,77.58296623243486,0
41088,76.73129283098099,0
41280,75.87754436017084,0
41472,75.021782462378,0
41664,74.16402413518759,0
41856,73.30439548132205,0
42048,72.4429360462053,0
42240,71.57975227942012,0
42432,70.71489733702434,0
42624,69.8484286669906,0
42816,68.98051948813553,0
43008,68.11120338577446,0
43200,66.87614959908865,0
43392,60.468379478082234,0
43584,52.17368670851782,1
43776,41.78922625285164,1
43968,40.957757092637955,1
44160,40.39574698614618,1
44352,34.38515449150801,1
44544,26.99341604663667,2
44736,24.21100701687707,2
44928,19.29620629689376,2
45120,18.888707785617896,2
45312,14.369954708462622,2
45504,12.287459029661145,3
45696,10.018629404398649,3
45888,9.712133498870022,3
46080,9.602592684532366,3
46272,9.306628028472865,3
46464,9.164348983922164,3
46656,9.058835887237995,3
46848,8.807762337732743,0
47040,8.739254955744011,0
47232,8.66811243481027,0
47424,8.66811243481027,0
47616,8.66811243481027,0
47808,8.66811243481027,0
48000,8.66811243481027,0
48192,8.66811243481027,0
48384,8.66811243481027,0
48576,8.66811243481027,0
48768,8.66811243481027,0
48960,8.66811243481027,0
49152,8.66811243481027,0
49344,8.66811243481027,0
49536,8.66811243481027,0
49728,8.66811243481027,0
49920,8.66811243481027,0
50112,8.66811243481027,0
50304,8.66811243481027,0
50496,8.66811243481027,0
50688,8.66811243481027,0
50880,8.66811243481027,0
51072,8.66811243481027,0
51264,8.66811243481027,0
51456,8.66811243481027,0
51648,8.66811243481027,0
51840,8.66811243481027,0
52032,8.66811243481027,0
52224,8.66811243481027,0
52416,8.66811243481027,0
52608,8.66811243481027,0
52800,8.66811243481027,0
52992,8.66811243481027,0
53184,8.66811243481027,0
53376,8.66811243481027,0
53568,8.66811243481027,0
53760,8.66811243481027,0
53952,8.66811243481027,0
54144,8.66811243481027,0
54336,8.66811243481027,0
54528,8.66811243481027,0
54720,8.66811243481027,0
54912,8.66811243481027,0
55104,8.66811243481027,0
55296,8.66811243481027,0
55488,8.66811243481027,0
55680,8.66811243481027,0
55872,8.66811243481027,0
56064,8.66811243481027,0
56256,8.66811243481027,0
56448,8.66811243481027,0
56640,8.66811243481027,0
56832,8.66811243481027,0
57024,8.66811243481027,0
57216,8.66811243481027,0
57408,8.66811243481027,0
57600,8.66811243481027,0
57792,8.66811243481027,0
57984,8.66811243481027,0
58176,8.66811243481027,0
58368,8.66811243481027,0
58560,8.66811243481027,0
58752,8.66811243481027,0
58944,8.66811243481027,0
59136,8.66811243481027,0
59328,8.66811243481027,0
59520,8.66811243481027,0
59712,8.66811243481027,0
59904,8.66811243481027,0
60096,8.66811243481027,0
60288,8.66811243481027,0
60480,8.66811243481027,0
60672,8.66811243481027,0
60864,8.66811243481027,0
61056,8.66811243481027,0
61248,8.66811243481027,0
61440,8.66811243481027,0
61632,8.66811243481027,0
61824,8.66811243481027,0
62016,8.66811243481027,0
62208,8.66811243481027,0
62400,8.66811243481027,0
62592,8.66811243481027,0
62784,8.66811243481027,0
62976,8.66811243481027,0
63168,8.66811243481027,0
63360,8.66811243481027,0
63552,8.66811243481027,0
63744,8.66811243481027,0
63936,8.66811243481027,0
64128,8.66811243481027,0
64320,8.66811243481027,0
64512,8.66811243481027,0
64704,8.66811243481027,0
64896,8.66811243481027,0
65088,8.66811243481027,0
65280,8.66811243481027,0
65472,8.66811243481027,0
65664,8.66811243481027,0
65856,8.66811243481027,0
66048,8.66811243481027,0
66240,8.66811243481027,0
66432,8.66811243481027,0
66624,8.66811243481027,0
66816,8.66811243481027,0
67008,8.66811243481027,0
67200,8.66811243481027,0
67392,8.66811243481027,0
67584,8.66811243481027,0
67776,8.66811243481027,0
67968,8.66811243481027,0
68160,8.66811243481027,0
68352,8.66811243481027,0
68544,8.66811243481027,0
68736,8.66811243481027,0
68928,8.66811243481027,0
69120,8.66811243481027,0
69312,8.66811243481027,0
69504,8.66811243481027,0
69696,8.66811243481027,0
69888,8.66811243481027,0
70080,8.66811243481027,0
70272,8.66811243481027,0
70464,8.66811243481027,0
70656,8.66811243481027,0
70848,8.66811243481027,0
71040,8.66811243481027,0
71232,8.66811243481027,0
71424,8.66811243481027,0
71616,8.66811243481027,0
71808,8.66811243481027,0
72000,8.66811243481027,0
72192,8.66811243481027,0
72384,8.66811243481027,0
72576,8.66811243481027,0
72768,8.66811243481027,0
72960,8.66811243481027,0
73152,8.66811243481027,0
73344,8.66811243481027,0
73536,8.66811243481027,0
73728,8.66811243481027,0
73920,8.66811243481027,0
74112,8.66811243481027,0
74304,8.66811243481027,0
74496,8.66811243481027,0
74688,8.66811243481027,0
74880,8.66811243481027,0
75072,8.66811243481027,0
75264,8.66811243481027,0
75456,8.66811243481027,0
75648,8.66811243481027,0
75840,8.66811243481027,0
76032,8.66811243481027,0
76224,8.66811243481027,0
76416,8.66811243481027,0
76608,8.66811243481027,0
76800,8.66811243481027,0
76992,8.66811243481027,0
77184,8.66811243481027,0
77376,8.66811243481027,0
77568,8.66811243481027,0
77760,8.66811243481027,0
77952,8.66811243481027,0
78144,8.66811243481027,0
78336,8.66811243481027,0
78528,8.66811243481027,0
78720,8.66811243481027,0
78912,8.66811243481027,0
79104,8.66811243481027,0
79296,8.66811243481027,0
79488,8.66811243481027,0
79680,8.66811243481027,0
79872,8.66811243481027,0
80064,8.66811243481027,0
80256,8.66811243481027,0
80448,8.66811243481027,0
80640,8.66811243481027,0
80832,8.66811243481027,0
81024,8.66811243481027,0
81216,8.66811243481027,0
81408,8.66811243481027,0
81600,8.66811243481027,0
81792,8.66811243481027,0
81984,8.66811243481027,0
82176,8.66811243481027,0
82368,8.66811243481027,0
82560,8.66811243481027,0
82752,8.66811243481027,0
82944,8.66811243481027,0
83136,8.66811243481027,0
83328,8.66811243481027,0
83520,8.66811243481027,0
83712,8.66811243481027,0
83904,8.66811243481027,0
84096,8.66811243481027,0
84288,8.66811243481027,0
84480,8.66811243481027,0
84672,8.66811243481027,0
84864,8.66811243481027,0
85056,8.66811243481027,0
85248,8.66811243481027,0
85440,8.66811243481027,0
85632,8.66811243481027,0
85824,8.66811243481027,0
86016,8.66811243481027,0
86208,8.66811243481027,0
86400,8.66811243481027,0
86592,8.66811243481027,0
86784,8.66811243481027,0
86976,8.66811243481027,0
87168,8.66811243481027,0
87360,8.66811243481027,0
87552,8.66811243481027,0
87744,8.66811243481027,0
87936,8.66811243481027,0
88128,8.66811243481027,0
88320,8.66811243481027,0
88512,8.66811243481027,0
88704,8.66811243481027,0
88896,8.66811243481027,0
89088,8.66811243481027,0
89280,8.66811243481027,0
89472,8.66811243481027,0
89664,8.66811243481027,0
89856,8.66811243481027,0
90048,8.66811243481027,0
90240,8.66811243481027,0
90432,8.66811243481027,0
90624,8.66811243481027,0
90816,8.66811243481027,0
91008,8.66811243481027,0
91200,8.66811243481027,0
91392,8.66811243481027,0
91584,8.66811243481027,0
91776,8.66811243481027,0
91968,8.66811243481027,0
92160,8.66811243481027,0
92352,8.66811243481027,0
92544,8.66811243481027,0
92736,8.66811243481027,0
92928,8.66811243481027,0
93120,8.66811243481027,0
93312,8.66811243481027,0
93504,8.66811243481027,0
93696,8.66811243481027,0
93888,8.66811243481027,0
94080,8.66811243481027,0
94272,8.66811243481027,0
94464,8.66811243481027,0
94656,8.66811243481027,0
94848,8.66811243481027,0
95040,8.66811243481027,0
95232,8.66811243481027,0
95424,8.66811243481027,0
95616,8.66811243481027,0
95808,8.66811243481027,0
96000,8.66811243481027,0
96192,8.66811243481027,0
96384,8.66811243481027,0
96576,8.66811243481027,0
96768,8.66811243481027,0
96960,8.66811243481027,0
97152,8.66811243481027,0
97344,8.66811243481027,0
97536,8.66811243481027,0
97728,8.66811243481027,0
97920,8.66811243481027,0
98112,8.66811243481027,0
98304,8.66811243481027,0
98496,8.66811243481027,0
98688,8.66811243481027,0
98880,8.66811243481027,0
99072,8.66811243481027,0
99264,8.66811243481027,0
99456,8.66811243481027,0
99648,8.66811243481027,0
99840,8.66811243481027,0
100032,8.66811243481027,0
100224,8.66811243481027,0
100416,8.66811243481027,0
100608,8.66811243481027,0
100800,8.66811243481027,0
100992,8.66811243481027,0
101184,8.66811243481027,0
101376,8.66811243481027,0
101568,8.66811243481027,0
101760,8.66811243481027,0
101952,8.66811243481027,0
102144,8.66811243481027,0
102336,8.66811243481027,0
102528,8.66811243481027,0
102720,8.66811243481027,0
102912,8.66811243481027,0
103104,8.66811243481027,0
103296,8.66811243481027,0
103488,8.66811243481027,0
103680,8.66811243481027,0
103872,8.66811243481027,0
104064,8.66811243481027,0
104256,8.66811243481027,0
104448,8.66811243481027,0
104640,8.66811243481027,0
104832,8.66811243481027,0
105024,8.66811243481027,0
105216,8.66811243481027,0
105408,8.66811243481027,0
105600,8.66811243481027,0
105792,8.66811243481027,0
105984,8.66811243481027,0
106176,8.66811243481027,0
106368,8.66811243481027,0
106560,8.66811243481027,0
106752,8.66811243481027,0
106944,8.66811243481027,0
107136,8.66811243481027,0
107328,8.66811243481027,0
107520,8.66811243481027,0
107712,8.66811243481027,0
107904,8.66811243481027,0
108096,8.66811243481027,0
108288,8.66811243481027,0
108480,8.66811243481027,0
108672,8.66811243481027,0
108864,8.66811243481027,0
109056,8.66811243481027,0
109248,8.66811243481027,0
109440,8.66811243481027,0
109632,8.66811243481027,0
109824,8.66811243481027,0
110016,8.66811243481027,0
110208,8.66811243481027,0
110400,8.66811243481027,0
110592,8.66811243481027,0
110784,8.66811243481027,0
110976,8.66811243481027,0
111168,8.66811243481027,0
111360,8.66811243481027,0
111552,8.66811243481027,0
111744,8.66811243481027,0
111936,8.66811243481027,0
112128,8.66811243481027,0
112320,8.66811243481027,0
112512,8.66811243481027,0
112704,8.66811243481027,0
112896,8.66811243481027,0
113088,8.66811243481027,0
113280,8.66811243481027,0
113472,8.66811243481027,0
113664,8.66811243481027,0
113856,8.66811243481027,0
114048,8.66811243481027,0
114240,8.66811243481027,0
114432,8.66811243481027,0
114624,8.66811243481027,0
114816,8.66811243481027,0
115008,8.66811243481027,0
115200,8.66811243481027,0
115392,8.66811243481027,0
115584,8.66811243481027,0
115776,8.66811243481027,0
115968,8.66811243481027,0
116160,8.66811243481027,0
116352,8.66811243481027,0
116544,8.66811243481027,0
116736,8.66811243481027,0
116928,8.66811243481027,0
117120,8.66811243481027,0
117312,8.66811243481027,0
117504,8.66811243481027,0
117696,8.66811243481027,0
117888,8.66811243481027,0
118080,8.66811243481027,0
118272,8.66811243481027,0
118464,8.66811243481027,0
118656,8.66811243481027,0
118848,8.66811243481027,0
119040,8.66811243481027,0
119232,8.66811243481027,0
119424,8.66811243481027,0
119616,8.66811243481027,0
119808,8.66811243481027,0
120000,8.66811243481027,0
120192,8.66811243481027,0
120384,8.66811243481027,0
120576,8.66811243481027,0
120768,8.66811243481027,0
120960,8.66811243481027,0
121152,8.66811243481027,0
121344,8.66811243481027,0
121536,8.66811243481027,0
121728,8.66811243481027,0
121920,8.66811243481027,0
122112,8.66811243481027,0
122304,8.66811243481027,0
122496,8.66811243481027,0
122688,8.66811243481027,0
122880,8.66811243481027,0
123072,8.66811243481027,0
123264,8.66811243481027,0
123456,8.66811243481027,0
123648,8.66811243481027,0
123840,8.66811243481027,0
124032,8.66811243481027,0
124224,8.66811243481027,0
124416,8.66811243481027,0
124608,8.66811243481027,0
124800,8.66811243481027,0
124992,8.66811243481027,0
125184,8.66811243481027,0
125376,8.66811243481027,0
125568,8.66811243481027,0
125760,8.66811243481027,0
125952,8.66811243481027,0
126144,8.66811243481027,0
126336,8.66811243481027,0
126528,8.66811243481027,0
126720,8.66811243481027,0
126912,8.66811243481027,0
127104,8.66811243481027,0
127296,8.66811243481027,0
127488,8.66811243481027,0
127680,8.66811243481027,0
127872,8.66811243481027,0
128064,8.66811243481027,0
128256,8.66811243481027,0
128448,8.66811243481027,0
128640,8.66811243481027,0
128832,8.66811243481027,0
129024,8.66811243481027,0
129216,8.66811243481027,0
129408,8.66811243481027,0
129600,8.66811243481027,0
129792,8.66811243481027,0
129984,8.66811243481027,0
130176,8.66811243481027,0
130368,8.66811243481027,0
130560,8.66811243481027,0
130752,8.66811243481027,0
130944,8.66811243481027,0
131136,8.66811243481027,0
131328,8.66811243481027,0
131520,8.66811243481027,0
131712,8.66811243481027,0
131904,8.66811243481027,0
132096,8.66811243481027,0
132288,8.66811243481027,0
132480,8.66811243481027,0
132672,8.66811243481027,0
132864,8.66811243481027,0
133056,8.66811243481027,0
133248,8.66811243481027,0
133440,8.66811243481027,0
133632,8.66811243481027,0
133824,8.66811243481027,0
134016,8.66811243481027,0
134208,8.66811243481027,0
134400,8.66811243481027,0
134592,8.66811243481027,0
134784,8.66811243481027,0
134976,8.66811243481027,0
135168,8.66811243481027,0
135360,8.66811243481027,0
135552,8.66811243481027,0
135744,8.66811243481027,0
135936,8.66811243481027,0
136128,8.66811243481027,0
136320,8.66811243481027,0
136512,8.66811243481027,0
136704,8.66811243481027,0
136896,8.66811243481027,0
137088,8.66811243481027,0
137280,8.66811243481027,0
137472,8.66811243481027,0
137664,8.66811243481027,0
137856,8.66811243481027,0
138048,8.66811243481027,0
138240,8.66811243481027,0
138432,8.66811243481027,0
138624,8.66811243481027,0
138816,8.66811243481027,0
139008,8.66811243481027,0
139200,8.66811243481027,0
139392,8.66811243481027,0
139584,8.66811243481027,0
139776,8.66811243481027,0
139968,8.66811243481027,0
140160,8.66811243481027,0
140352,8.66811243481027,0
140544,8.66811243481027,0
140736,8.66811243481027,0
140928,8.66811243481027,0
141120,8.66811243481027,0
141312,8.66811243481027,0
141504,8.66811243481027,0
141696,8.66811243481027,0
141888,8.66811243481027,0
142080,8.66811243481027,0
142272,8.66811243481027,0
142464,8.66811243481027,0
142656,8.66811243481027,0
142848,8.66811243481027,0
143040,8.66811243481027,0
143232,8.66811243481027,0
143424,8.66811243481027,0
143616,8.66811243481027,0
143808,8.66811243481027,0
144000,8.66811243481027,0
144192,8.66811243481027,0
144384,8.66811243481027,0
144576,8.66811243481027,0
144768,8.66811243481027,0
144960,8.66811243481027,0
145152,8.66811243481027,0
145344,8.66811243481027,0
145536,8.66811243481027,0
145728,8.66811243481027,0
145920,8.66811243481027,0
146112,8.66811243481027,0
146304,8.66811243481027,0
146496,8.66811243481027,0
146688,8.66811243481027,0
146880,8.66811243481027,0
147072,8.66811243481027,0
147264,8.66811243481027,0
147456,8.66811243481027,0
147648,8.66811243481027,0
